danish,english,ukrainian
Har du oplevet astma?,Have experienced asthma ?,Ви вже хворіли на астму?
Har du nogensinde haft astmasymptomer?,you ever had asthma symptoms ?,Чи були у вас коли-небудь симптоми астми?
Er du tilbøjelig til at udvikle astma?,you prone to developing asthma ?,Чи схильні ви до розвитку астми?
Har du haft menstruationer stakånde?,Have you had periods shortness breath ?,Чи були у вас періоди задишки?
Har du brug for behandling astma?,Do you need treatment asthma ?,Чи потребуєте ви лікування від астми?
Er astma bekymret for dig?,asthma a concern for you ?,Чи турбує вас астма?
Har du oplevet forværring af lungerne?,Have you experienced worsening of lungs ?,Чи відчували ви погіршення стану ваших легенів?
Er astma en del af den medicinske tilstand?,Is asthma part of medical condition ?,Чи є астма частиною вашого стану здоров'я?
Har du brug for medicin til at lindre dine luftvejsproblemer?,Do need medication to relieve your respiratory problems ?,Чи потрібні вам ліки для полегшення ваших проблем з диханням?
Har du nogensinde haft svært ved at trække vejret?,you ever had trouble breathing ?,Чи були у вас коли-небудь проблеми з диханням?
Har du nogensinde fået foretaget en nyreoperation?,you ever had kidney surgery ?,Чи робили вам коли-небудь операцію на нирках?
Er du blevet opereret på nyrerne?,Have you had surgery on kidneys ?,Чи робили вам операцію на нирках?
Har du nyreproblemer?,Have you kidney problems ?,Чи були у вас проблеми з нирками?
"Er der noget, vi bør være opmærksomme på med hensyn til dine nyrer?",Is there anything we should be aware regarding your kidneys ?,"Чи є щось, про що ми повинні знати стосовно ваших нирок?"
Har du haft tidligere nyreproblemer?,Have had previous kidney problems ?,Чи були у вас раніше проблеми з нирками?
Har du fået foretaget en nyreoperation?,Have you kidney surgery ?,Чи робили вам операцію на нирках?
Er du blevet opereret på nyrerne?,Have you been operated on kidneys ?,Чи робили вам операцію на нирках?
Er du blevet opereret på dine nyrer?,Has ever been surgery on your kidneys ?,Чи була у вас коли-небудь операція на нирках?
Er der foretaget en operation i nyreregionen?,Have undergone surgery in the kidney region ?,Чи робили вам операцію в області нирок?
Er der nogen tidligere nyreoperationer med dig?,Is there any history kidney surgeries with you ?,Чи є у вас в історії хвороби операції на нирках?
Har der nogensinde været kirurgiske indgreb dine nyrer?,Has there ever been surgical procedures your kidneys ?,Чи були у вас коли-небудь хірургічні втручання на нирках?
Har du oplevet nyreoperationer?,Have you experienced kidney surgeries ?,Чи були у вас раніше операції на нирках?
